scenario,outer_fold,protocol,alpha,model,margin,inner_r_all,inner_coverage,feasible,chosen,reason,action_set,confidence
beam_release,0,random,0.05,Ridge,0.0,0.02181,0.4953,True,False,,,
beam_release,0,random,0.05,Ridge,0.05,0.01869,0.4891,True,False,,,
beam_release,0,random,0.05,Ridge,0.1,0.00935,0.4735,True,False,,,
beam_release,0,random,0.05,Ridge,0.15,0.00935,0.4688,True,False,,,
beam_release,0,random,0.05,Ridge,0.2,0.00623,0.4611,True,False,,,
beam_release,0,random,0.05,Ridge,0.25,0.00312,0.4533,True,False,,,
beam_release,0,random,0.05,Ridge,0.3,0.00312,0.4486,True,False,,,
beam_release,0,random,0.05,Ridge,0.35,0.00156,0.4408,True,False,,,
beam_release,0,random,0.05,Ridge,0.4,0.00156,0.4315,True,False,,,
beam_release,0,random,0.05,Ridge,0.45,0.00156,0.4221,True,False,,,
beam_release,0,random,0.05,Ridge,0.5,0.0,0.4112,True,False,,,
beam_release,0,random,0.05,Ridge,0.55,0.0,0.3972,True,False,,,
beam_release,0,random,0.05,Ridge,0.6,0.0,0.3832,True,False,,,
beam_release,0,random,0.05,Ridge,0.65,0.0,0.3676,True,False,,,
beam_release,0,random,0.05,Ridge,0.7,0.0,0.3551,True,False,,,
beam_release,0,random,0.05,Ridge,0.75,0.0,0.3411,True,False,,,
beam_release,0,random,0.05,Ridge,0.8,0.0,0.3333,True,False,,,
beam_release,0,random,0.05,Ridge,0.85,0.0,0.3255,True,False,,,
beam_release,0,random,0.05,Ridge,0.9,0.0,0.3131,True,False,,,
beam_release,0,random,0.05,Ridge,0.95,0.0,0.3022,True,False,,,
beam_release,0,random,0.05,Ridge,1.0,0.0,0.2975,True,False,,,
beam_release,0,random,0.05,RandomForest,0.0,0.00935,0.4938,True,False,,,
beam_release,0,random,0.05,RandomForest,0.05,0.00623,0.4829,True,False,,,
beam_release,0,random,0.05,RandomForest,0.1,0.00467,0.4798,True,False,,,
beam_release,0,random,0.05,RandomForest,0.15,0.00467,0.4688,True,False,,,
beam_release,0,random,0.05,RandomForest,0.2,0.00312,0.4611,True,False,,,
beam_release,0,random,0.05,RandomForest,0.25,0.00156,0.4579,True,False,,,
beam_release,0,random,0.05,RandomForest,0.3,0.00156,0.4455,True,False,,,
beam_release,0,random,0.05,RandomForest,0.35,0.00156,0.4424,True,False,,,
beam_release,0,random,0.05,RandomForest,0.4,0.00156,0.4361,True,False,,,
